id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,Erion,F,SIXTH WARD,42.65403,-73.77056,Entire home/apt,100,1,102,08-04-2024,3.15,10,324,3,
54128829,Modern & Cozy Cntr Square Townhouse Gem from 1854,265709295,Richard & Priscela,F,SIXTH WARD,42.65594,-73.76591,Entire home/apt,182,1,214,21-08-2024,6.91,2,330,58,
54150131,Charming 170-Year-Old Home in the Heart of Albany,432936385,Jared,F,SIXTH WARD,42.65142474,-73.76496628,Entire home/apt,167,1,164,31-08-2024,5.46,1,317,78,
54232383,Lovely 2 bedroom unit with indoor fireplace.,272907816,Angela,B,SECOND WARD,42.64459,-73.75392,Entire home/apt,125,2,5,06-11-2022,0.2,4,5,0,
54369238,"Cozy townhouse, close to hospital, free parking!",152762198,Allen,I,NINTH WARD,42.65578,-73.78641,Entire home/apt,99,3,37,24-08-2024,1.56,9,147,16,
54369240,Lovely 1 bedroom rental close to Alb Med!,152762198,Allen,J,TENTH WARD,42.65905,-73.77964,Entire home/apt,80,3,46,01-08-2024,1.65,9,329,19,
5.52126E+17,Washington Park Brownstone-Large Luxury Bedroom 2,49100926,Clyde,F,SIXTH WARD,42.65902,-73.7701,Private room,110,2,4,20-01-2023,0.13,4,246,0,
5.53841E+17,Washington Park Brownstone-Large Private Lux Rm 3,49100926,Clyde,F,SIXTH WARD,42.6595,-73.76938,Private room,100,2,4,02-07-2023,0.13,4,246,0,
5.54082E+17,Washington Park Brownstone- Large Luxury Bedroom 4,49100926,Clyde,F,SIXTH WARD,42.6598,-73.76995,Private room,100,2,6,02-10-2022,0.19,4,246,0,
5.5925E+17,Cozy 1 bedroom with office and luxurious King size,433884293,Uniah,I,NINTH WARD,42.66062,-73.79112,Entire home/apt,75,6,2,26-06-2023,0.09,1,363,0,
5.63712E+17,/Purple Potty Penthouse\ 1928 Pine Hill 4Bed 1Bath,4259750,Peter,M,THIRTEENTH WARD,42.66919,-73.78672,Entire home/apt,191,2,8,05-08-2024,0.26,9,364,2,
5.65172E+17,Lovely 1 bed apartment close to MVP Arena,232967878,Diana,B,SECOND WARD,42.64342,-73.75742,Entire home/apt,121,1,87,10-08-2024,2.81,25,74,31,
5.81058E+17,◆UNIQUE◆ spacious LOFT with photo studio w/d!,47625981,Linda,C,THIRD WARD,42.65848,-73.76359,Entire home/apt,115,1,41,18-08-2024,1.36,16,361,6,
5.88298E+17,Modern one bedroom with free off street parking,353498132,Michael,B,SECOND WARD,42.64441,-73.75647,Entire home/apt,110,13,11,08-05-2024,0.41,5,264,3,
5.93272E+17,Lux Suite at the Historic Jesse Buel House.,382970529,Thomas,M,THIRTEENTH WARD,42.66911,-73.79869,Private room,134,1,102,13-08-2024,3.85,12,71,40,
5.97655E+17,Newly refurbished 2 bedroom close to Lark,30920241,Miri,F,SIXTH WARD,42.65314,-73.76787,Entire home/apt,214,2,9,12-06-2024,0.32,2,85,2,
6.10091E+17,Cozy rental near hospitals! Off street parking,40548251,Reyana,I,NINTH WARD,42.652049,-73.7949665,Entire home/apt,120,2,53,02-09-2024,2.4,1,339,29,
6.17242E+17,Iconic City Center Apt in Downtown | Pets Allowed,433096110,Brian,F,SIXTH WARD,42.65353,-73.7679,Entire home/apt,113,1,138,24-08-2024,4.86,3,89,53,
6.18673E+17,"Huge loft with a king bed, balcony and park views",2554853,Nim,F,SIXTH WARD,42.65547943,-73.76625061,Entire home/apt,135,5,7,27-07-2024,0.31,1,182,3,
6.19695E+17,Modern luxury one bedroom with off street parking,353498132,Michael,B,SECOND WARD,42.64489,-73.75731,Entire home/apt,120,13,10,01-08-2024,0.39,5,31,5,
6.20481E+17,"Lovely renovated, 2-bedroom home with free parking",457678547,Najeem Adegbemiga,G,SEVENTH WARD,42.640217,-73.780815,Entire home/apt,140,2,16,22-07-2024,0.64,1,360,6,
6.2196E+17,One-of-a-Kind Luxe Urban Farmhouse w/ Heated Pool,382970529,Thomas,N,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,1379,2,11,28-07-2024,0.42,12,332,6,
6.23102E+17,Walk everywhere! Stylish apartment for up to 5,1176120,Julia,C,THIRD WARD,42.65723,-73.75684,Entire home/apt,89,1,149,02-09-2024,5.28,3,75,36,
6.25347E+17,Charming Garden Apartment in Center Square,12742779,Kathryn,F,SIXTH WARD,42.65347,-73.7662,Entire home/apt,95,1,232,24-08-2024,8.48,1,129,102,
6.28163E+17,★SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!★,47625981,Linda,B,SECOND WARD,42.64528,-73.75861,Entire home/apt,120,1,47,04-08-2024,1.72,16,351,13,
6.28824E+17,Clean lines and accessible Convenient Location!,7164949,Jordan,C,THIRD WARD,42.66169975,-73.76466828,Private room,68,2,0,,,1,88,0,
6.31035E+17,★PRIVATE 1 BDRM Newly Renovated Apt W/D Patio★,47625981,Linda,B,SECOND WARD,42.64558,-73.75928,Entire home/apt,100,1,49,21-07-2024,1.77,16,358,12,
6.31779E+17,Lovely 3-bedroom apartment with indoor fireplace.,272907816,Angela,B,SECOND WARD,42.645252,-73.753433,Entire home/apt,,2,17,10-06-2024,0.9,4,0,10,
6.34108E+17,Perfect for Families and Traveling Professionals,119340359,Lori,F,SIXTH WARD,42.65323,-73.76797,Entire home/apt,216,30,101,28-07-2024,3.68,2,122,27,
6.36902E+17,Cozy Private Room in a Residential House in Albany,376794541,Neha,K,ELEVENTH WARD,42.6635364,-73.7778236,Private room,47,10,21,16-08-2023,0.81,3,85,0,
6.4657E+17,Peaceful 2 bedroom condo in the heart of Albany,172658781,Jessica,M,THIRTEENTH WARD,42.66897,-73.79653,Entire home/apt,95,24,0,,,3,91,0,
6.49974E+17,Modern luxury studio with free off street parking,353498132,Michael,B,SECOND WARD,42.64625,-73.75663,Entire home/apt,89,14,7,31-07-2024,0.28,5,239,2,
6.53434E+17,Lovely apartment in heart of Albany,1761578,Grant,F,SIXTH WARD,42.65389,-73.76538,Entire home/apt,130,2,5,01-08-2024,0.28,3,90,4,
6.54303E+17,★ Private 1 bdrm w/ backyard access ★ In-unit W/D,47625981,Linda,D,FOURTH WARD,42.65752,-73.74743,Entire home/apt,115,1,48,02-08-2024,1.84,16,337,15,
6.57131E+17,Lovely Garden Apt. in Historic Brownstone,166246610,Shawn,C,THIRD WARD,42.65795,-73.75092,Entire home/apt,101,4,17,01-08-2024,0.66,1,262,7,
6.58161E+17,Lovely artist 1 bedroom apartment close to LARK,30920241,Miri,F,SIXTH WARD,42.65128,-73.7686,Entire home/apt,207,30,1,28-06-2024,0.43,2,64,1,
6.58638E+17,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,A,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,159,5,5,22-09-2023,0.19,2,251,2,
6.62133E+17,Beautiful 4 bedroom house Large eat in kitchen,466389096,Patrice,A,FIRST WARD,42.6378819,-73.7715269,Entire home/apt,139,7,2,12-08-2024,0.08,2,338,1,
6.67645E+17,Pied-a-terre albany,439560254,Sean,F,SIXTH WARD,42.65541381,-73.76367521,Entire home/apt,130,2,88,25-08-2024,3.43,1,84,34,
6.68608E+17,The Rose Room at Historic Buel House,382970529,Thomas,N,FOURTEENTH WARD,42.66758,-73.7992,Private room,99,2,117,20-08-2024,4.48,12,68,47,
6.68608E+17,The Silk and Sun Room at Historic Jesse Buel House,382970529,Thomas,N,FOURTEENTH WARD,42.66764,-73.79908,Private room,99,1,96,01-09-2024,3.69,12,70,38,
6.77623E+17,**New Listing! Modern 2 bdrm Apt in Mansion Area!,203631769,Johnny,B,SECOND WARD,42.64531,-73.75963,Entire home/apt,,2,28,29-09-2023,1.12,1,0,1,
6.81241E+17,Tranquil Master Bedroom,376794541,Neha,K,ELEVENTH WARD,42.66305,-73.77726,Private room,52,7,7,31-03-2024,0.4,3,78,3,
6.81264E+17,"Comfy private room in a Residential House, Albany",376794541,Neha,K,ELEVENTH WARD,42.66286,-73.77817,Private room,47,20,13,30-04-2024,0.51,3,85,4,
6.81952E+17,Albany-2 bedrooms apt (1st fl) A&A-Sisters Rental,461579260,Md,B,SECOND WARD,42.646896,-73.757612,Entire home/apt,140,1,3,31-03-2024,0.16,2,0,1,
6.82688E+17,Lovely 4 bed 2 bath located near St Rose,232967878,Diana,J,TENTH WARD,42.66172,-73.78497,Entire home/apt,179,1,113,18-08-2024,4.44,25,74,49,
6.841E+17,Cozy 1BR with Patio in the Heart of Albany,1176120,Julia,C,THIRD WARD,42.65732,-73.75676,Entire home/apt,89,1,99,18-08-2024,3.89,3,80,39,
6.87497E+17,Albany-3 bedrooms apt (2nd fl) A&A-Sisters Rental,461579260,Md,B,SECOND WARD,42.64621,-73.75723,Entire home/apt,170,1,4,28-05-2023,0.17,2,12,0,
6.88355E+17,Albany-3 bedrooms apt (3rd fl) A&A-Sisters Rental,474123093,Lipa,B,SECOND WARD,42.646896,-73.757612,Entire home/apt,171,1,17,30-06-2024,0.68,1,349,5,
6.89719E+17,"Elegant, spacious studio apt in historic mansion",1717342,David,F,SIXTH WARD,42.65405765,-73.760713,Entire home/apt,104,1,202,03-09-2024,8.09,2,233,103,
